home_team,away_team,PTS_home,FG%_home,3P%_home,FT%_home,OREB_home,DREB_home,AST_home,STL_home,BLK_home,PTS_away,FG%_away,3P%_away,FT%_away,OREB_away,DREB_away,AST_away,STL_away,BLK_away,winner
BOS,PHI,105,43.3,29.7,71.4,12,43,21,7,5,87,39.1,19.2,60.9,6,41,18,8,5,BOS
GSW,OKC,108,44.2,26.9,94.4,17,41,28,7,7,100,36.3,27.0,64.9,16,29,21,12,6,GSW
CHA,MIL,112,44.6,42.1,63.6,9,32,21,8,9,113,49.4,41.2,75.0,11,46,26,5,4,MIL
BKN,DET,100,48.8,18.5,68.2,5,34,28,9,5,103,42.4,25.0,86.4,14,32,21,5,5,DET
IND,MEM,111,56.6,38.5,53.8,13,44,29,2,7,83,29.8,34.5,82.1,7,21,16,11,3,IND
MIA,ORL,101,39.2,27.3,72.7,14,38,16,4,5,104,41.5,28.0,61.3,14,37,20,7,7,ORL
ATL,NYK,107,45.6,27.8,83.3,7,38,19,7,3,126,45.5,36.4,77.4,10,36,21,12,6,NYK
CLE,TOR,104,40.0,36.8,74.4,14,35,17,4,0,116,48.9,42.4,60.0,8,35,21,6,7,TOR
HOU,NOP,112,42.4,33.3,75.0,8,29,21,8,7,131,53.1,40.0,77.3,14,40,36,8,3,NOP
MIN,SAS,108,42.9,31.6,88.9,14,32,20,9,2,112,43.0,44.0,72.4,19,33,22,3,4,SAS
SAC,UTA,117,51.6,36.8,66.7,5,32,17,8,3,123,51.9,48.1,73.7,5,39,21,8,4,UTA
DEN,LAC,107,37.9,33.3,78.6,14,42,20,6,9,98,39.8,28.6,83.3,9,38,21,3,9,DEN
DAL,PHX,100,43.2,30.3,70.0,10,28,28,7,5,121,54.3,55.9,87.5,6,38,35,5,2,PHX
CHI,PHI,108,43.6,33.3,75.0,5,34,28,4,6,127,47.3,33.3,90.0,11,44,30,10,8,PHI
MIA,WAS,113,39.2,34.3,73.5,22,33,25,6,5,112,46.9,26.9,74.4,7,33,19,7,15,MIA
LAL,POR,119,48.4,23.3,75.9,8,38,23,10,6,128,44.0,35.1,93.1,14,40,21,9,10,POR
CHA,ORL,120,46.7,44.7,85.0,12,43,32,6,4,88,38.3,19.4,71.4,12,32,18,8,7,CHA
BKN,NYK,107,49.3,40.0,87.5,12,43,22,2,6,105,40.2,32.1,90.0,12,24,14,10,1,BKN
BOS,TOR,101,40.4,38.9,70.0,16,33,29,4,6,113,46.7,37.1,73.7,12,37,24,3,3,TOR
ATL,MEM,117,49.4,46.7,58.3,11,29,27,9,5,131,54.3,50.0,69.8,7,34,32,9,4,MEM
CLE,MIN,123,48.4,34.8,86.2,13,30,26,5,2,131,50.6,40.0,94.3,9,31,28,9,7,MIN
NOP,SAC,149,58.9,51.6,63.6,12,40,35,6,4,129,52.1,40.0,73.1,9,30,24,6,2,NOP
IND,MIL,101,43.7,33.3,70.4,9,32,14,7,3,118,47.3,37.0,61.9,11,39,27,9,8,MIL
GSW,UTA,124,56.3,52.6,88.9,8,35,27,10,6,123,44.9,41.3,82.8,10,28,24,11,4,GSW
