date,home,away,team,PTS,FG%,3P%,OREB,DREB,AST,STL,BLK,win
2018-10-16,BOS,PHI,BOS,105,43.3,29.7,12,43,21,7,5,1
2018-10-16,BOS,PHI,PHI,87,39.1,19.2,6,41,18,8,5,0
2018-10-16,GSW,OKC,GSW,108,44.2,26.9,17,41,28,7,7,1
2018-10-16,GSW,OKC,OKC,100,36.3,27.0,16,29,21,12,6,0
2018-10-17,CHA,MIL,CHA,112,44.6,42.1,9,32,21,8,9,0
2018-10-17,CHA,MIL,MIL,113,49.4,41.2,11,46,26,5,4,1
2018-10-17,DET,BKN,DET,103,42.4,25.0,14,32,21,5,5,1
2018-10-17,DET,BKN,BKN,100,48.8,18.5,5,34,28,9,5,0
2018-10-17,HOU,NOP,HOU,112,42.4,33.3,8,29,21,8,7,0
2018-10-17,HOU,NOP,NOP,131,53.1,40.0,14,40,36,8,3,1
2018-10-17,IND,MEM,IND,111,56.6,38.5,13,44,29,2,7,1
2018-10-17,IND,MEM,MEM,83,29.8,34.5,7,21,16,11,3,0
2018-10-17,LAC,DEN,LAC,98,39.8,28.6,9,38,21,3,9,0
2018-10-17,LAC,DEN,DEN,107,37.9,33.3,14,42,20,6,9,1
2018-10-17,NYK,ATL,NYK,126,45.5,36.4,10,36,21,12,6,1
2018-10-17,NYK,ATL,ATL,107,45.6,27.8,7,38,19,7,3,0
2018-10-17,ORL,MIA,ORL,104,41.5,28.0,14,37,20,7,7,1
2018-10-17,ORL,MIA,MIA,101,39.2,27.3,14,38,16,4,5,0
2018-10-17,PHX,DAL,PHX,121,54.3,55.9,6,38,35,5,2,1
2018-10-17,PHX,DAL,DAL,100,43.2,30.3,10,28,28,7,5,0
2018-10-17,SAC,UTA,SAC,117,51.6,36.8,5,32,17,8,3,0
2018-10-17,SAC,UTA,UTA,123,51.9,48.1,5,39,21,8,4,1
2018-10-17,SAS,MIN,SAS,112,43.0,44.0,19,33,22,3,4,1
2018-10-17,SAS,MIN,MIN,108,42.9,31.6,14,32,20,9,2,0
2018-10-17,TOR,CLE,TOR,116,48.9,42.4,8,35,21,6,7,1
2018-10-17,TOR,CLE,CLE,104,40.0,36.8,14,35,17,4,0,0
2018-10-18,PHI,CHI,PHI,127,47.3,33.3,11,44,30,10,8,1
2018-10-18,PHI,CHI,CHI,108,43.6,33.3,5,34,28,4,6,0
2018-10-18,POR,LAL,POR,128,44.0,35.1,14,40,21,9,10,1
2018-10-18,POR,LAL,LAL,119,48.4,23.3,8,38,23,10,6,0
2018-10-18,WAS,MIA,WAS,112,46.9,26.9,7,33,19,7,15,0
2018-10-18,WAS,MIA,MIA,113,39.2,34.3,22,33,25,6,5,1
2018-10-19,BKN,NYK,BKN,107,49.3,40.0,12,43,22,2,6,1
2018-10-19,BKN,NYK,NYK,105,40.2,32.1,12,24,14,10,1,0
2018-10-19,LAC,OKC,LAC,108,43.2,42.3,10,38,21,3,3,1
2018-10-19,LAC,OKC,OKC,92,35.8,21.2,15,37,18,5,4,0
2018-10-19,MEM,ATL,MEM,131,54.3,50.0,7,34,32,9,4,1
2018-10-19,MEM,ATL,ATL,117,49.4,46.7,11,29,27,9,5,0
2018-10-19,MIL,IND,MIL,118,47.3,37.0,11,39,27,9,8,1
2018-10-19,MIL,IND,IND,101,43.7,33.3,9,32,14,7,3,0
2018-10-19,MIN,CLE,MIN,131,50.6,40.0,9,31,28,9,7,1
2018-10-19,MIN,CLE,CLE,123,48.4,34.8,13,30,26,5,2,0
2018-10-19,NOP,SAC,NOP,149,58.9,51.6,12,40,35,6,4,1
2018-10-19,NOP,SAC,SAC,129,52.1,40.0,9,30,24,6,2,0
2018-10-19,ORL,CHA,ORL,88,38.3,19.4,12,32,18,8,7,0
2018-10-19,ORL,CHA,CHA,120,46.7,44.7,12,43,32,6,4,1
2018-10-19,TOR,BOS,TOR,113,46.7,37.1,12,37,24,3,3,1
2018-10-19,TOR,BOS,BOS,101,40.4,38.9,16,33,29,4,6,0
2018-10-19,UTA,GSW,UTA,123,44.9,41.3,10,28,24,11,4,0
2018-10-19,UTA,GSW,GSW,124,56.3,52.6,8,35,27,10,6,1
2018-10-20,CHI,DET,CHI,116,50.6,33.3,5,36,26,4,3,0
2018-10-20,CHI,DET,DET,118,40.6,45.0,18,31,21,4,4,1
2018-10-20,DAL,MIN,DAL,140,50.0,34.0,15,27,29,8,8,1
2018-10-20,DAL,MIN,MIN,136,52.4,51.9,6,27,23,10,3,0
2018-10-20,DEN,PHX,DEN,119,50.6,32.1,9,45,28,12,6,1
2018-10-20,DEN,PHX,PHX,91,37.7,28.2,10,30,20,6,4,0
2018-10-20,IND,BKN,IND,132,55.4,66.7,10,30,21,12,5,1
2018-10-20,IND,BKN,BKN,112,47.7,43.2,9,31,25,6,6,0
2018-10-20,LAL,HOU,LAL,115,48.0,25.0,9,35,28,8,10,0
2018-10-20,LAL,HOU,HOU,124,45.8,38.1,13,41,22,7,4,1
2018-10-20,MIA,CHA,MIA,112,46.1,32.4,12,37,21,4,11,0
2018-10-20,MIA,CHA,CHA,113,44.1,38.1,12,28,23,6,12,1
2018-10-20,NYK,BOS,NYK,101,41.4,34.3,11,35,23,8,1,0
2018-10-20,NYK,BOS,BOS,103,40.2,36.0,11,36,21,8,2,1
