gameid,date,type,teamid,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,season,game_id
21800001,2018-10-16,regular,1610612738,BOS,BOS,PHI,48,0.34259259259259267,42,97,0.39234449760765533,11,37,0.2875816993464052,10,14,71.4,0.41379310344827586,0.6136363636363636,55,0.30952380952380953,15.0,0.3181818181818182,0.25,20,18.0,1,2019,2018-10-16_BOS_PHI
21800001,2018-10-16,regular,1610612755,PHI,BOS,PHI,48,0.17592592592592593,34,87,0.29186602870813405,5,26,0.1503267973856209,14,23,60.9,0.20689655172413793,0.5681818181818182,47,0.23809523809523808,16.0,0.36363636363636365,0.25,20,-18.0,0,2019,2018-10-16_BOS_PHI
21800002,2018-10-16,regular,1610612744,GSW,GSW,OKC,48,0.37037037037037046,42,95,0.4138755980861244,7,26,0.25098039215686274,17,18,94.4,0.5862068965517241,0.5681818181818182,58,0.47619047619047616,21.0,0.3181818181818182,0.35000000000000003,29,8.0,1,2019,2018-10-16_GSW_OKC
21800002,2018-10-16,regular,1610612760,OKC,GSW,OKC,48,0.2962962962962963,33,91,0.22488038277511957,10,37,0.2522875816993464,24,37,64.9,0.5517241379310345,0.2954545454545454,45,0.30952380952380953,15.0,0.5454545454545454,0.30000000000000004,21,-8.0,0,2019,2018-10-16_GSW_OKC
21800003,2018-10-17,regular,1610612766,CHA,CHA,MIL,48,0.40740740740740744,41,92,0.42344497607655507,16,38,0.44967320261437915,14,22,63.6,0.3103448275862069,0.36363636363636365,41,0.30952380952380953,11.0,0.36363636363636365,0.45,19,-1.0,0,2019,2018-10-17_CHA_MIL
21800003,2018-10-17,regular,1610612749,MIL,CHA,MIL,48,0.41666666666666674,42,85,0.5382775119617225,14,34,0.43790849673202625,15,20,75.0,0.3793103448275862,0.6818181818181818,57,0.4285714285714286,21.0,0.2272727272727273,0.2,25,1.0,1,2019,2018-10-17_CHA_MIL
21800004,2018-10-17,regular,1610612765,DET,DET,BKN,48,0.32407407407407407,39,92,0.3708133971291865,6,24,0.2261437908496732,19,22,86.4,0.48275862068965514,0.36363636363636365,46,0.30952380952380953,17.0,0.2272727272727273,0.25,20,3.0,1,2019,2018-10-17_DET_BKN
21800004,2018-10-17,regular,1610612751,BKN,DET,BKN,48,0.2962962962962963,40,82,0.5239234449760763,5,27,0.1411764705882353,15,22,68.2,0.1724137931034483,0.40909090909090906,39,0.47619047619047616,19.0,0.4090909090909091,0.25,23,-3.0,0,2019,2018-10-17_DET_BKN
21800009,2018-10-17,regular,1610612745,HOU,HOU,NOP,48,0.40740740740740744,39,92,0.3708133971291865,16,48,0.3346405228758169,18,24,75.0,0.27586206896551724,0.2954545454545454,37,0.30952380952380953,12.0,0.36363636363636365,0.35000000000000003,22,-19.0,0,2019,2018-10-17_HOU_NOP
21800009,2018-10-17,regular,1610612740,NOP,HOU,NOP,48,0.5833333333333333,52,98,0.6267942583732058,10,25,0.4222222222222223,17,22,77.3,0.48275862068965514,0.5454545454545455,54,0.6666666666666666,12.0,0.36363636363636365,0.15000000000000002,25,19.0,1,2019,2018-10-17_HOU_NOP
21800005,2018-10-17,regular,1610612754,IND,IND,MEM,48,0.39814814814814814,47,83,0.7105263157894737,10,26,0.40261437908496733,7,13,53.8,0.4482758620689655,0.6363636363636364,57,0.5,20.0,0.09090909090909091,0.35000000000000003,24,28.0,1,2019,2018-10-17_IND_MEM
21800005,2018-10-17,regular,1610612763,MEM,IND,MEM,48,0.13888888888888895,25,84,0.0693779904306221,10,29,0.3503267973856209,23,28,82.1,0.24137931034482757,0.11363636363636365,28,0.19047619047619047,10.0,0.5,0.15000000000000002,18,-28.0,0,2019,2018-10-17_IND_MEM
21800012,2018-10-17,regular,1610612746,LAC,LAC,DEN,48,0.2777777777777778,35,88,0.30861244019138745,8,28,0.273202614379085,20,24,83.3,0.3103448275862069,0.5,47,0.30952380952380953,14.0,0.13636363636363635,0.45,32,-9.0,0,2019,2018-10-17_LAC_DEN
