home,game_date,Target label,fg_pct_home,fg3_pct_home,oreb_home,dreb_home,ast_home,stl_home,blk_home,tov_home,pts_home,away,fg_pct_away,fg3_pct_away,oreb_away,dreb_away,ast_away,stl_away,blk_away,pts_away,season_type
Boston Celtics,2018-10-16,W,0.433,0.297,12.0,43.0,21.0,7.0,5.0,15.0,105,Philadelphia 76ers,0.391,0.192,6.0,41.0,18.0,8.0,5.0,87,Regular Season
Golden State Warriors,2018-10-16,W,0.442,0.269,17.0,41.0,28.0,7.0,7.0,21.0,108,Oklahoma City Thunder,0.363,0.27,16.0,29.0,21.0,12.0,6.0,100,Regular Season
San Antonio Spurs,2018-10-17,W,0.43,0.44,19.0,33.0,22.0,3.0,4.0,12.0,112,Minnesota Timberwolves,0.429,0.316,14.0,32.0,20.0,9.0,2.0,108,Regular Season
Phoenix Suns,2018-10-17,W,0.543,0.559,6.0,38.0,35.0,5.0,2.0,12.0,121,Dallas Mavericks,0.432,0.303,10.0,28.0,28.0,7.0,5.0,100,Regular Season
LA Clippers,2018-10-17,L,0.398,0.286,9.0,38.0,21.0,3.0,9.0,14.0,98,Denver Nuggets,0.379,0.333,14.0,42.0,20.0,6.0,9.0,107,Regular Season
New York Knicks,2018-10-17,W,0.455,0.364,10.0,36.0,21.0,12.0,6.0,16.0,126,Atlanta Hawks,0.456,0.278,7.0,38.0,19.0,7.0,3.0,107,Regular Season
Sacramento Kings,2018-10-17,L,0.516,0.368,5.0,32.0,17.0,8.0,3.0,9.0,117,Utah Jazz,0.519,0.481,5.0,39.0,21.0,8.0,4.0,123,Regular Season
Houston Rockets,2018-10-17,L,0.424,0.333,8.0,29.0,21.0,8.0,7.0,12.0,112,New Orleans Pelicans,0.531,0.4,14.0,40.0,36.0,8.0,3.0,131,Regular Season
Orlando Magic,2018-10-17,W,0.415,0.28,14.0,37.0,20.0,7.0,7.0,12.0,104,Miami Heat,0.392,0.273,14.0,38.0,16.0,4.0,5.0,101,Regular Season
Indiana Pacers,2018-10-17,W,0.566,0.385,13.0,44.0,29.0,2.0,7.0,20.0,111,Memphis Grizzlies,0.298,0.345,7.0,21.0,16.0,11.0,3.0,83,Regular Season
Detroit Pistons,2018-10-17,W,0.424,0.25,14.0,32.0,21.0,5.0,5.0,17.0,103,Brooklyn Nets,0.488,0.185,5.0,34.0,28.0,9.0,5.0,100,Regular Season
Charlotte Hornets,2018-10-17,L,0.446,0.421,9.0,32.0,21.0,8.0,9.0,11.0,112,Milwaukee Bucks,0.494,0.412,11.0,46.0,26.0,5.0,4.0,113,Regular Season
Toronto Raptors,2018-10-17,W,0.489,0.424,8.0,35.0,21.0,6.0,7.0,10.0,116,Cleveland Cavaliers,0.4,0.368,14.0,35.0,17.0,4.0,0.0,104,Regular Season
Portland Trail Blazers,2018-10-18,W,0.44,0.351,14.0,40.0,21.0,9.0,10.0,17.0,128,Los Angeles Lakers,0.484,0.233,8.0,38.0,23.0,10.0,6.0,119,Regular Season
Washington Wizards,2018-10-18,L,0.469,0.269,7.0,33.0,19.0,7.0,15.0,14.0,112,Miami Heat,0.392,0.343,22.0,33.0,25.0,6.0,5.0,113,Regular Season
Philadelphia 76ers,2018-10-18,W,0.473,0.333,11.0,44.0,30.0,10.0,8.0,13.0,127,Chicago Bulls,0.436,0.333,5.0,34.0,28.0,4.0,6.0,108,Regular Season
LA Clippers,2018-10-19,W,0.432,0.423,10.0,38.0,21.0,3.0,3.0,15.0,108,Oklahoma City Thunder,0.358,0.212,15.0,37.0,18.0,5.0,4.0,92,Regular Season
Brooklyn Nets,2018-10-19,W,0.493,0.4,12.0,43.0,22.0,2.0,6.0,22.0,107,New York Knicks,0.402,0.321,12.0,24.0,14.0,10.0,1.0,105,Regular Season
Minnesota Timberwolves,2018-10-19,W,0.506,0.4,9.0,31.0,28.0,9.0,7.0,14.0,131,Cleveland Cavaliers,0.484,0.348,13.0,30.0,26.0,5.0,2.0,123,Regular Season
Orlando Magic,2018-10-19,L,0.383,0.194,12.0,32.0,18.0,8.0,7.0,18.0,88,Charlotte Hornets,0.467,0.447,12.0,43.0,32.0,6.0,4.0,120,Regular Season
Milwaukee Bucks,2018-10-19,W,0.473,0.37,11.0,39.0,27.0,9.0,8.0,17.0,118,Indiana Pacers,0.437,0.333,9.0,32.0,14.0,7.0,3.0,101,Regular Season
Toronto Raptors,2018-10-19,W,0.467,0.371,12.0,37.0,24.0,3.0,3.0,13.0,113,Boston Celtics,0.404,0.389,16.0,33.0,29.0,4.0,6.0,101,Regular Season
Utah Jazz,2018-10-19,L,0.449,0.413,10.0,28.0,24.0,11.0,4.0,17.0,123,Golden State Warriors,0.563,0.526,8.0,35.0,27.0,10.0,6.0,124,Regular Season
Memphis Grizzlies,2018-10-19,W,0.543,0.5,7.0,34.0,32.0,9.0,4.0,17.0,131,Atlanta Hawks,0.494,0.467,11.0,29.0,27.0,9.0,5.0,117,Regular Season
New Orleans Pelicans,2018-10-19,W,0.589,0.516,12.0,40.0,35.0,6.0,4.0,16.0,149,Sacramento Kings,0.521,0.4,9.0,30.0,24.0,6.0,2.0,129,Regular Season
Miami Heat,2018-10-20,L,0.461,0.324,12.0,37.0,21.0,4.0,11.0,16.0,112,Charlotte Hornets,0.441,0.381,12.0,28.0,23.0,6.0,12.0,113,Regular Season
Portland Trail Blazers,2018-10-20,W,0.536,0.469,8.0,38.0,24.0,5.0,3.0,12.0,121,San Antonio Spurs,0.42,0.433,15.0,25.0,29.0,5.0,4.0,108,Regular Season
Indiana Pacers,2018-10-20,W,0.554,0.667,10.0,30.0,21.0,12.0,5.0,11.0,132,Brooklyn Nets,0.477,0.432,9.0,31.0,25.0,6.0,6.0,112,Regular Season
Dallas Mavericks,2018-10-20,W,0.5,0.34,15.0,27.0,29.0,8.0,8.0,16.0,140,Minnesota Timberwolves,0.524,0.519,6.0,27.0,23.0,10.0,3.0,136,Regular Season
Los Angeles Lakers,2018-10-20,L,0.48,0.25,9.0,35.0,28.0,8.0,10.0,11.0,115,Houston Rockets,0.458,0.381,13.0,41.0,22.0,7.0,4.0,124,Regular Season
Chicago Bulls,2018-10-20,L,0.506,0.333,5.0,36.0,26.0,4.0,3.0,11.0,116,Detroit Pistons,0.406,0.45,18.0,31.0,21.0,4.0,4.0,118,Regular Season
Washington Wizards,2018-10-20,L,0.416,0.333,9.0,28.0,20.0,11.0,9.0,11.0,113,Toronto Raptors,0.443,0.345,14.0,38.0,21.0,5.0,5.0,117,Regular Season
New York Knicks,2018-10-20,L,0.414,0.343,11.0,35.0,23.0,8.0,1.0,16.0,101,Boston Celtics,0.402,0.36,11.0,36.0,21.0,8.0,2.0,103,Regular Season
Denver Nuggets,2018-10-20,W,0.506,0.321,9.0,45.0,28.0,12.0,6.0,18.0,119,Phoenix Suns,0.377,0.282,10.0,30.0,20.0,6.0,4.0,91,Regular Season
Philadelphia 76ers,2018-10-20,W,0.479,0.515,13.0,33.0,33.0,8.0,3.0,10.0,116,Orlando Magic,0.456,0.552,14.0,35.0,31.0,7.0,7.0,115,Regular Season
Denver Nuggets,2018-10-21,W,0.407,0.188,13.0,34.0,21.0,11.0,4.0,10.0,100,Golden State Warriors,0.456,0.241,6.0,34.0,22.0,4.0,6.0,98,Regular Season
LA Clippers,2018-10-21,W,0.472,0.2,12.0,37.0,22.0,8.0,7.0,13.0,115,Houston Rockets,0.483,0.429,6.0,29.0,28.0,6.0,6.0,112,Regular Season
Cleveland Cavaliers,2018-10-21,L,0.465,0.37,15.0,34.0,23.0,5.0,2.0,18.0,111,Atlanta Hawks,0.49,0.468,9.0,35.0,32.0,9.0,7.0,133,Regular Season
Oklahoma City Thunder,2018-10-21,L,0.442,0.231,18.0,33.0,23.0,11.0,9.0,18.0,120,Sacramento Kings,0.549,0.455,12.0,34.0,28.0,11.0,7.0,131,Regular Season
Milwaukee Bucks,2018-10-22,W,0.469,0.425,19.0,36.0,27.0,5.0,9.0,15.0,124,New York Knicks,0.455,0.345,11.0,32.0,22.0,6.0,2.0,113,Regular Season
Portland Trail Blazers,2018-10-22,L,0.398,0.282,17.0,53.0,22.0,6.0,4.0,20.0,124,Washington Wizards,0.418,0.405,12.0,42.0,23.0,6.0,7.0,125,Regular Season
Los Angeles Lakers,2018-10-22,L,0.514,0.359,13.0,39.0,33.0,5.0,6.0,15.0,142,San Antonio Spurs,0.515,0.536,10.0,37.0,32.0,9.0,3.0,143,Regular Season
Toronto Raptors,2018-10-22,W,0.575,0.385,5.0,41.0,36.0,10.0,8.0,15.0,127,Charlotte Hornets,0.423,0.321,14.0,27.0,21.0,5.0,5.0,106,Regular Season
Dallas Mavericks,2018-10-22,W,0.43,0.319,13.0,28.0,25.0,8.0,2.0,16.0,115,Chicago Bulls,0.513,0.565,7.0,27.0,18.0,6.0,4.0,109,Regular Season
Golden State Warriors,2018-10-22,W,0.511,0.378,7.0,33.0,35.0,12.0,4.0,14.0,123,Phoenix Suns,0.453,0.265,12.0,33.0,24.0,8.0,1.0,103,Regular Season
Boston Celtics,2018-10-22,L,0.407,0.225,9.0,42.0,21.0,6.0,3.0,12.0,90,Orlando Magic,0.409,0.286,8.0,41.0,28.0,6.0,2.0,93,Regular Season
Utah Jazz,2018-10-22,L,0.354,0.25,10.0,40.0,18.0,6.0,6.0,15.0,84,Memphis Grizzlies,0.369,0.321,7.0,36.0,18.0,10.0,2.0,92,Regular Season
Minnesota Timberwolves,2018-10-22,W,0.424,0.212,8.0,39.0,24.0,9.0,12.0,15.0,101,Indiana Pacers,0.391,0.308,12.0,33.0,18.0,6.0,6.0,91,Regular Season
