home_team,away_team,PTS_home,FG%_home,3P%_home,FT%_home,OREB_home,DREB_home,AST_home,STL_home,BLK_home,PTS_away,FG%_away,3P%_away,FT%_away,OREB_away,DREB_away,AST_away,STL_away,BLK_away,winner
DEN,LAL,119,52.7,41.2,75.0,9,33,29,9,6,107,45.6,34.5,75.0,13,31,23,5,4,DEN
GSW,PHX,104,35.6,23.3,78.6,18,31,19,11,6,108,44.2,33.3,76.5,17,43,23,5,7,PHX
ATL,CHA,110,41.9,17.2,81.8,12,30,24,12,1,116,50.0,29.7,73.1,12,39,34,5,3,CHA
IND,WAS,143,52.3,46.5,91.7,10,41,38,10,8,120,45.8,37.5,79.3,11,34,28,6,9,IND
BOS,NYK,108,48.1,30.8,84.6,7,39,18,6,11,104,37.1,43.9,53.8,17,30,24,9,0,BOS
HOU,ORL,86,40.5,35.3,62.5,7,24,19,6,3,116,48.3,26.5,88.5,17,40,19,8,6,ORL
BKN,CLE,113,50.0,33.3,76.9,13,37,30,6,6,114,46.8,39.5,90.0,9,29,25,10,6,CLE
DET,MIA,102,44.6,34.4,60.0,17,39,28,3,13,103,40.2,36.4,80.8,16,32,22,11,3,MIA
MIN,TOR,94,34.0,25.8,81.8,16,46,20,8,9,97,40.0,40.0,68.8,8,39,27,9,11,TOR
CHI,OKC,104,41.5,28.6,77.8,13,29,26,10,3,124,54.9,48.7,83.3,5,38,30,6,4,OKC
MEM,NOP,104,41.8,27.9,80.0,8,29,23,8,7,111,47.1,43.8,77.3,11,41,22,8,5,NOP
SAC,UTA,130,46.1,37.3,85.0,15,30,29,6,8,114,45.1,32.1,74.2,16,38,22,6,2,SAC
DAL,SAS,126,47.5,31.9,73.9,13,35,24,6,3,119,51.7,31.4,72.7,9,36,33,8,5,DAL
LAC,POR,123,52.2,47.1,81.3,14,31,36,11,7,111,47.3,31.3,76.5,15,25,20,10,4,LAC
MIL,PHI,118,50.6,36.7,69.4,8,35,20,9,4,117,51.3,45.7,67.9,4,35,25,8,4,MIL
LAL,PHX,100,42.9,17.2,79.3,8,34,24,14,7,95,42.0,29.0,78.3,10,39,16,7,3,LAL
CHA,DET,99,37.5,25.0,76.5,11,30,20,13,7,111,45.5,33.3,84.0,12,41,28,7,6,DET
DEN,MEM,108,46.6,37.8,66.7,6,33,27,11,9,104,44.0,30.3,83.3,13,35,22,13,7,DEN
ATL,NYK,120,48.3,37.5,80.0,9,35,28,7,6,126,47.8,45.5,71.4,12,33,30,9,6,NYK
BOS,MIA,119,47.4,41.0,68.4,16,39,20,7,6,111,42.7,48.5,82.6,11,34,24,8,6,BOS
CLE,OKC,105,41.3,26.7,73.9,8,40,20,10,8,108,46.0,50.0,78.9,6,41,22,8,10,OKC
CHI,TOR,104,37.4,20.5,78.6,15,37,18,10,5,103,46.4,25.0,64.0,8,45,25,5,2,CHI
HOU,SAS,122,52.0,25.0,50.0,11,32,30,7,2,126,48.9,31.0,75.0,12,31,32,11,4,SAS
BKN,DAL,120,48.9,48.8,90.0,10,37,30,5,4,125,48.4,41.7,78.6,8,32,20,5,2,DAL
LAC,UTA,118,53.2,40.0,78.6,6,30,17,8,6,120,43.8,39.0,90.9,17,28,27,7,4,UTA
ORL,POR,102,45.6,32.1,65.6,10,35,22,10,5,97,39.8,28.1,85.7,15,32,15,6,1,ORL
GSW,SAC,122,55.2,43.8,85.7,7,32,32,14,3,114,43.6,30.0,69.0,10,31,24,10,3,GSW
CHI,DET,102,41.9,39.3,81.3,13,20,16,10,5,118,52.3,42.9,80.0,15,38,29,4,4,DET
MEM,WAS,106,42.9,40.4,100.0,6,39,27,7,8,113,43.0,34.8,77.3,11,34,25,9,5,WAS
NOP,NYK,96,46.0,27.3,43.8,4,39,20,8,5,87,36.7,18.9,77.8,16,43,19,7,3,NOP
CLE,IND,113,43.0,38.7,62.5,19,33,29,2,6,125,49.0,39.5,82.4,11,37,36,3,4,IND
PHI,TOR,114,50.0,35.7,85.7,9,33,25,8,7,107,43.7,53.1,73.7,13,28,28,5,5,PHI
MIA,MIN,90,40.2,31.6,57.1,9,33,24,6,1,106,51.2,35.3,75.0,7,40,30,9,3,MIN
PHX,UTA,126,52.9,27.0,92.9,7,32,31,10,7,104,44.0,32.4,85.7,15,30,26,6,5,PHX
DEN,OKC,128,60.2,40.7,84.6,10,38,34,8,5,95,41.1,18.8,83.3,7,22,22,8,4,DEN
GSW,HOU,106,43.2,40.0,78.3,8,41,27,6,6,95,37.8,27.3,94.7,10,32,22,7,4,GSW
ATL,MIL,127,50.5,40.5,81.8,13,33,32,15,2,110,45.3,36.4,80.0,12,27,22,10,3,ATL
PHI,POR,126,48.8,39.3,87.5,11,40,28,10,17,98,38.3,22.6,86.4,14,28,19,10,9,PHI
LAC,SAS,123,51.6,38.1,61.9,9,39,23,15,5,83,37.5,33.3,75.0,6,31,21,9,6,LAC
LAL,SAC,127,43.9,33.3,76.5,8,45,27,4,4,132,47.1,35.4,70.8,6,41,30,6,7,SAC
BKN,CHA,133,56.3,36.4,71.9,10,36,25,4,8,121,49.0,25.8,95.0,8,31,33,8,5,BKN
CHI,IND,112,46.0,35.3,83.9,10,34,19,8,6,105,40.9,26.1,84.0,11,36,26,7,5,CHI
BOS,WAS,126,50.0,35.8,71.4,15,36,31,11,6,107,44.8,30.6,69.2,11,29,26,12,4,BOS
ATL,MIN,127,55.8,46.7,94.4,4,32,28,6,7,113,48.9,48.5,60.0,10,28,24,5,5,ATL
POR,TOR,99,44.7,31.4,80.0,13,38,20,6,7,91,40.4,13.8,73.3,14,33,19,10,4,POR
DAL,MEM,125,50.0,48.9,75.0,6,42,24,4,7,110,45.7,37.8,60.0,10,34,22,9,4,DAL
MIA,MIL,114,47.7,38.2,95.0,7,33,27,7,2,122,50.6,32.4,73.3,9,34,24,8,5,MIL
GSW,NOP,130,52.0,36.6,65.0,21,43,28,6,7,102,40.9,25.6,61.5,14,25,23,8,3,GSW
DET,OKC,112,42.9,53.6,79.2,13,28,31,6,5,124,53.0,44.8,82.1,6,38,21,9,10,OKC
DEN,UTA,110,56.0,32.1,41.2,7,36,32,4,8,102,42.9,29.7,46.7,17,34,30,6,2,DEN
LAL,ORL,106,53.2,29.6,77.8,3,37,28,7,10,103,40.0,40.0,72.2,12,32,28,10,3,LAL
CLE,NYK,91,39.1,26.3,75.0,14,32,19,6,6,109,44.2,38.2,80.0,12,36,18,9,1,NYK
PHX,SAS,114,50.6,46.2,80.0,6,37,29,8,7,115,46.7,37.8,75.0,8,29,25,10,9,SAS
LAC,ORL,118,49.4,45.2,69.6,9,35,29,10,4,102,46.9,23.3,57.6,7,33,23,9,3,LAC
DET,POR,101,44.4,37.9,90.9,6,32,24,12,4,110,46.9,35.0,81.8,7,37,23,10,7,POR
MIL,TOR,111,46.1,38.2,73.7,7,22,19,9,2,130,56.0,39.5,92.9,15,35,35,7,6,TOR
ATL,WAS,130,50.0,28.1,90.6,14,43,26,8,3,121,50.5,25.0,64.3,6,29,32,14,3,ATL
BOS,IND,155,56.8,57.1,96.4,11,46,27,5,2,104,45.5,13.5,58.3,8,23,26,6,6,BOS
BKN,MIA,109,45.1,44.4,73.1,7,40,27,11,4,105,42.9,34.2,77.8,11,35,22,10,5,BKN
CLE,NYK,95,43.2,37.5,95.0,6,40,22,7,5,89,34.8,16.7,66.7,16,34,18,10,3,CLE
NOP,OKC,110,39.2,31.0,58.6,22,36,23,8,5,106,43.2,20.6,92.0,6,43,23,6,5,NOP
CHA,HOU,119,50.0,40.7,72.0,15,29,21,9,8,128,52.4,56.8,82.6,7,31,35,10,2,HOU
DEN,MIN,89,39.6,18.2,70.0,12,31,23,6,10,110,45.8,38.1,96.3,8,39,20,9,5,MIN
CHI,DAL,105,47.2,33.3,90.9,12,31,19,10,3,114,45.7,41.7,71.4,13,32,23,7,2,DAL
MEM,UTA,109,36.5,25.9,78.1,14,28,25,12,7,133,54.0,51.2,70.8,10,40,35,7,3,UTA
GSW,SAC,102,48.1,35.5,86.7,7,29,32,5,6,101,40.9,31.4,78.3,14,34,24,8,4,GSW
LAC,LAL,125,47.5,41.2,63.0,12,34,22,12,1,130,51.1,34.4,75.0,9,42,28,10,9,LAL
PHI,TOR,114,45.7,36.0,84.0,15,31,21,12,3,99,48.1,35.7,68.4,9,32,30,4,3,PHI
DET,NOP,116,43.6,34.2,80.8,19,29,30,4,5,125,48.8,43.8,94.3,7,29,27,5,7,NOP
ORL,UTA,115,45.9,34.5,75.0,10,33,27,17,9,113,46.1,36.4,73.1,13,35,27,9,7,ORL
PHX,SAS,121,53.8,50.0,73.1,5,29,26,5,4,132,52.0,48.6,92.3,9,32,37,7,5,SAS
CLE,IND,116,52.4,28.6,80.0,5,30,27,10,9,121,52.3,48.4,66.7,7,33,28,7,5,IND
MIL,NYK,110,42.7,51.3,71.4,7,34,24,6,11,105,39.6,25.6,76.0,16,40,18,6,1,MIL
MIA,WAS,121,60.0,48.1,85.7,7,30,35,9,1,114,56.8,46.4,52.9,4,26,33,7,4,MIA
BKN,CHI,109,45.8,40.0,60.0,8,31,32,4,4,107,48.3,39.3,71.4,9,33,21,4,4,BKN
GSW,OKC,141,53.3,45.0,83.3,13,25,36,9,2,139,60.2,51.7,80.0,7,25,26,3,1,GSW
DAL,DEN,114,47.7,40.5,88.2,10,24,27,12,6,125,52.7,43.3,73.7,19,32,33,11,6,DEN
MEM,POR,113,49.0,28.6,69.2,7,41,29,8,10,115,40.6,28.1,77.8,15,35,19,12,7,POR
PHI,PHX,112,47.8,36.7,83.3,15,36,24,5,6,100,36.0,25.7,81.8,15,27,22,11,12,PHI
CHA,IND,125,53.4,40.0,100.0,12,29,23,5,10,124,48.4,48.9,75.0,11,25,31,7,5,CHA
LAL,ORL,101,44.0,26.7,90.5,10,30,17,6,10,120,45.5,36.4,84.2,19,32,29,6,9,ORL
ATL,NOP,123,48.4,34.1,79.2,19,33,28,4,6,105,47.6,25.8,81.0,9,26,24,9,7,ATL
BKN,BOS,114,43.0,32.7,64.7,10,32,22,4,5,124,47.8,33.3,85.2,10,40,22,4,6,BOS
HOU,SAC,107,46.0,36.1,70.0,10,43,28,4,3,89,38.1,26.8,73.7,8,35,20,5,6,HOU
MIN,UTA,123,55.6,37.5,77.4,9,34,25,10,11,95,38.5,27.9,76.5,17,22,20,3,7,MIN
CHI,DEN,101,45.3,26.9,69.6,9,28,28,7,3,123,51.9,44.4,76.7,10,39,31,10,4,DEN
DET,PHX,106,49.4,34.8,85.7,10,23,25,7,6,120,50.0,38.1,89.7,14,29,29,8,10,PHX
SAS,TOR,116,50.0,31.3,76.9,9,37,30,7,7,123,45.4,39.6,61.5,13,34,29,12,6,TOR
CLE,GSW,115,49.4,29.7,78.6,13,41,26,8,2,104,36.2,39.0,66.7,17,27,26,10,4,CLE
CHA,DAL,118,49.5,26.7,57.1,10,33,30,5,2,124,47.3,33.3,75.0,9,38,31,3,6,DAL
MEM,POR,112,50.6,40.6,69.2,10,39,27,6,7,100,38.9,31.1,80.0,16,31,23,11,5,MEM
DET,GSW,109,47.5,43.3,95.2,7,32,23,8,2,120,47.4,29.3,76.2,17,27,26,8,4,GSW
IND,SAS,152,57.9,52.6,95.7,9,40,38,7,4,111,42.6,30.8,76.7,12,24,26,7,5,IND
DAL,ORL,117,50.0,37.5,71.4,5,26,21,9,6,102,47.1,29.6,77.8,6,32,27,6,4,DAL
PHI,WAS,146,56.0,38.7,88.9,10,35,37,12,7,128,51.0,41.2,80.0,10,28,31,6,10,PHI
BKN,MIL,125,48.5,35.6,84.6,11,35,22,2,4,129,47.9,33.3,87.5,12,36,26,6,2,MIL
LAL,MIA,107,54.3,30.8,78.6,5,33,28,6,5,108,46.6,32.4,87.5,11,33,30,11,4,MIA
LAC,NYK,97,49.3,34.4,87.5,7,24,21,8,3,111,46.6,38.7,94.4,18,30,28,13,1,NYK
CHI,UTA,130,51.6,52.9,84.2,10,26,26,12,3,113,47.7,37.2,88.2,17,35,32,1,7,CHI
HOU,SAC,122,57.3,48.4,77.8,5,34,28,8,4,97,44.4,35.0,55.0,12,22,22,5,2,HOU
BOS,MIN,109,39.1,28.2,76.5,11,34,20,13,2,114,51.8,35.1,52.0,6,39,26,7,5,MIN
ATL,OKC,117,37.3,33.3,84.4,25,34,27,8,3,126,47.9,40.0,95.7,11,38,27,7,7,OKC
DEN,NOP,134,53.7,38.5,73.9,11,34,37,6,5,116,50.0,43.3,86.7,8,30,24,6,2,DEN
CHA,WAS,116,51.9,32.0,74.3,11,36,17,8,5,132,48.5,41.9,80.0,13,27,26,10,6,WAS
IND,UTA,134,51.5,31.7,85.0,14,32,26,14,7,118,46.9,40.7,94.4,16,31,26,3,5,IND
BOS,PHI,103,39.6,31.9,84.2,9,34,28,8,6,106,44.2,26.5,86.7,12,44,20,7,7,PHI
BKN,LAC,100,40.2,36.6,84.6,14,35,22,10,10,93,39.6,22.2,100.0,11,40,22,10,8,BKN
