home_team,away_team,predicted_winner
DEN,LAL,LAL
GSW,PHX,PHX
ATL,CHA,CHA
IND,WAS,WAS
BOS,NYK,NYK
HOU,ORL,ORL
BKN,CLE,CLE
DET,MIA,MIA
MIN,TOR,TOR
CHI,OKC,OKC
MEM,NOP,NOP
SAC,UTA,UTA
DAL,SAS,SAS
LAC,POR,POR
MIL,PHI,PHI
LAL,PHX,PHX
CHA,DET,DET
DEN,MEM,MEM
ATL,NYK,NYK
BOS,MIA,MIA
CLE,OKC,OKC
CHI,TOR,TOR
HOU,SAS,SAS
BKN,DAL,DAL
LAC,UTA,UTA
ORL,POR,POR
GSW,SAC,SAC
CHI,DET,DET
MEM,WAS,WAS
NOP,NYK,NYK
CLE,IND,IND
PHI,TOR,TOR
MIA,MIN,MIN
PHX,UTA,UTA
DEN,OKC,OKC
GSW,HOU,HOU
ATL,MIL,MIL
PHI,POR,POR
LAC,SAS,SAS
LAL,SAC,SAC
BKN,CHA,CHA
CHI,IND,IND
BOS,WAS,WAS
ATL,MIN,MIN
POR,TOR,TOR
DAL,MEM,MEM
MIA,MIL,MIL
GSW,NOP,NOP
DET,OKC,OKC
DEN,UTA,UTA
LAL,ORL,ORL
CLE,NYK,NYK
PHX,SAS,SAS
LAC,ORL,ORL
DET,POR,POR
MIL,TOR,TOR
ATL,WAS,WAS
BOS,IND,IND
BKN,MIA,MIA
CLE,NYK,NYK
NOP,OKC,OKC
CHA,HOU,HOU
DEN,MIN,MIN
CHI,DAL,DAL
MEM,UTA,UTA
GSW,SAC,SAC
LAC,LAL,LAL
PHI,TOR,TOR
DET,NOP,NOP
ORL,UTA,UTA
PHX,SAS,SAS
CLE,IND,IND
MIL,NYK,NYK
MIA,WAS,WAS
BKN,CHI,CHI
GSW,OKC,OKC
DAL,DEN,DEN
MEM,POR,POR
PHI,PHX,PHX
CHA,IND,IND
LAL,ORL,ORL
ATL,NOP,NOP
BKN,BOS,BOS
HOU,SAC,SAC
MIN,UTA,UTA
CHI,DEN,DEN
DET,PHX,PHX
SAS,TOR,TOR
CLE,GSW,GSW
CHA,DAL,DAL
MEM,POR,POR
DET,GSW,GSW
IND,SAS,SAS
DAL,ORL,ORL
PHI,WAS,WAS
BKN,MIL,MIL
LAL,MIA,MIA
LAC,NYK,NYK
CHI,UTA,UTA
HOU,SAC,SAC
BOS,MIN,MIN
ATL,OKC,OKC
DEN,NOP,NOP
CHA,WAS,WAS
IND,UTA,UTA
BOS,PHI,PHI
BKN,LAC,LAC
NYK,SAS,SAS
CHI,PHX,PHX
HOU,LAL,LAL
MEM,MIA,MIA
DET,MIL,MIL
MIN,NOP,NOP
CLE,OKC,OKC
DAL,TOR,TOR
DEN,GSW,GSW
