Team,FG_Percent,3P_Percent,ORB,DRB,AST,STL,BLK,PF,PTS,Year
Golden State Warriors*,0.503,0.391,8.4,35.1,29.3,8,7.5,19.6,113.5,2018
Houston Rockets*,0.46,0.362,9,34.5,21.5,8.5,4.8,19.5,112.4,2018
New Orleans Pelicans*,0.483,0.362,8.7,35.7,26.8,8,5.9,19.1,111.7,2018
Toronto Raptors*,0.472,0.358,9.8,34.2,24.3,7.6,6.1,21.7,111.7,2018
Cleveland Cavaliers*,0.476,0.372,8.5,33.7,23.4,7.1,3.8,18.6,110.9,2018
Denver Nuggets,0.47,0.371,11,33.5,25.1,7.6,4.9,18.7,110,2018
Philadelphia 76ers*,0.472,0.369,10.9,36.5,27.1,8.3,5.1,22.1,109.8,2018
Minnesota Timberwolves*,0.476,0.357,10.3,31.6,22.7,8.4,4.2,18.2,109.5,2018
Los Angeles Clippers,0.471,0.354,10.1,33.7,22.3,7.7,4.5,20,109,2018
Charlotte Hornets,0.45,0.369,10.1,35.4,21.6,6.8,4.5,17.2,108.2,2018
Los Angeles Lakers,0.461,0.345,10.7,35.7,23.8,7.7,4.7,21.2,108.1,2018
Oklahoma City Thunder*,0.453,0.354,12.5,32.6,21.3,9.1,5,20.2,107.9,2018
Washington Wizards*,0.467,0.375,10,33.1,25.2,7.9,4.3,21.3,106.6,2018
Brooklyn Nets,0.441,0.356,9.7,34.8,23.7,6.2,4.8,20.6,106.6,2018
Milwaukee Bucks*,0.478,0.355,8.4,31.5,23.2,8.8,5.4,21.4,106.5,2018
Indiana Pacers*,0.472,0.369,9.6,32.7,22.2,8.8,4.1,18.8,105.6,2018
Portland Trail Blazers*,0.452,0.366,10.2,35.3,19.5,7,5.2,19.5,105.6,2018
New York Knicks,0.464,0.352,10.5,33.6,23.3,6.7,5.1,20.5,104.5,2018
Utah Jazz*,0.462,0.366,9,34.2,22.4,8.6,5.1,19.6,104.1,2018
Boston Celtics*,0.45,0.377,9.4,35.1,22.5,7.4,4.5,19.7,104,2018
Phoenix Suns,0.442,0.334,10.3,33.9,21.3,6.9,4.5,22,103.9,2018
Detroit Pistons,0.45,0.373,10.1,33.6,22.8,7.7,3.9,18.4,103.8,2018
Miami Heat*,0.455,0.36,9.3,34.2,22.7,7.6,5.3,20.1,103.4,2018
Orlando Magic,0.452,0.351,8.8,32.8,23.4,7.6,4.9,19.3,103.4,2018
Atlanta Hawks,0.446,0.36,9.1,32.8,23.7,7.8,4.2,19.6,103.4,2018
Chicago Bulls,0.435,0.355,9.6,35,23.5,7.6,3.5,19.2,102.9,2018
San Antonio Spurs*,0.457,0.352,10.4,33.9,22.8,7.7,5.6,17.2,102.7,2018
Dallas Mavericks,0.444,0.36,8.1,33.1,22.7,7,3.8,19.2,102.3,2018
Memphis Grizzlies,0.444,0.352,9.5,31,21.5,7.5,4.8,23.2,99.3,2018
Sacramento Kings,0.45,0.375,9.5,31.4,21.6,7.8,4.1,20,98.8,2018
Milwaukee Bucks*,0.476,0.353,9.3,40.4,26,7.5,5.9,19.6,118.1,2019
Golden State Warriors*,0.491,0.385,9.7,36.5,29.4,7.6,6.4,21.4,117.7,2019
New Orleans Pelicans,0.473,0.344,11.1,36.2,27,7.4,5.4,21.1,115.4,2019
Philadelphia 76ers*,0.471,0.359,10.9,36.9,26.9,7.4,5.3,21.3,115.2,2019
Los Angeles Clippers*,0.471,0.388,9.7,35.8,24,6.8,4.7,23.3,115.1,2019
Portland Trail Blazers*,0.467,0.359,11.8,36.2,23,6.7,5,20.4,114.7,2019
Oklahoma City Thunder*,0.454,0.348,12.6,35.5,23.4,9.3,5.2,22.4,114.5,2019
Toronto Raptors*,0.474,0.366,9.6,35.6,25.4,8.3,5.3,21,114.4,2019
Sacramento Kings,0.464,0.378,11,34.4,25.4,8.3,4.4,21.4,114.2,2019
Washington Wizards,0.468,0.341,9.7,32.7,26.3,8.3,4.6,20.7,114,2019
Houston Rockets*,0.449,0.356,10.2,31.9,21.2,8.5,4.9,22,113.9,2019
Atlanta Hawks,0.451,0.352,11.6,34.5,25.8,8.2,5.1,23.6,113.3,2019
Minnesota Timberwolves,0.456,0.351,11.3,33.5,24.6,8.3,5,20.3,112.5,2019
Boston Celtics*,0.465,0.365,9.8,34.7,26.3,8.6,5.3,20.4,112.4,2019
Brooklyn Nets*,0.449,0.353,11,35.6,23.8,6.6,4.1,21.5,112.2,2019
Los Angeles Lakers,0.47,0.333,10.2,36.4,25.6,7.5,5.4,20.7,111.8,2019
San Antonio Spurs*,0.478,0.392,9.2,35.5,24.5,6.1,4.7,18.1,111.7,2019
Utah Jazz*,0.468,0.356,10,36.4,26,8.1,5.9,21.1,111.7,2019
Denver Nuggets*,0.466,0.351,11.9,34.5,27.4,7.7,4.4,20,110.7,2019
Charlotte Hornets,0.448,0.351,9.9,33.9,23.2,7.2,4.9,18.9,110.7,2019
Dallas Mavericks,0.447,0.34,10.1,35.2,23.4,6.5,4.3,20.1,108.9,2019
Indiana Pacers*,0.475,0.374,9.3,33.7,26,8.7,4.9,19.4,108,2019
Phoenix Suns,0.459,0.329,9.1,31.3,23.9,9,5.1,23.6,107.5,2019
Orlando Magic*,0.454,0.356,10,35.4,25.5,6.6,5.4,18.6,107.3,2019
Detroit Pistons*,0.44,0.348,11.4,33.6,22.5,6.9,4,22.1,107,2019
Miami Heat,0.45,0.349,11.2,35.1,24.3,7.6,5.5,20.9,105.7,2019
Chicago Bulls,0.453,0.351,8.8,34.1,21.9,7.4,4.3,20.3,104.9,2019
New York Knicks,0.433,0.34,10.5,34.3,20.1,6.8,5.1,20.9,104.6,2019
Cleveland Cavaliers,0.444,0.355,10.7,31.9,20.7,6.5,2.4,20,104.5,2019
Memphis Grizzlies,0.45,0.342,8.8,33,23.9,8.3,5.5,22,103.5,2019
League Average,0.461,0.355,10.3,34.8,24.6,7.6,5,20.9,111.2,2019
Milwaukee Bucks*,0.476,0.355,9.5,42.2,25.9,7.2,5.9,19.6,118.7,2020
Houston Rockets*,0.451,0.345,9.8,34.5,21.6,8.7,5.2,21.8,117.8,2020
Dallas Mavericks*,0.461,0.367,10.5,36.4,24.7,6.1,4.8,19.5,117,2020
Los Angeles Clippers*,0.466,0.371,10.7,37,23.7,7.1,4.7,22.1,116.3,2020
New Orleans Pelicans,0.465,0.37,11.1,35.4,26.8,7.5,5,21.2,115.8,2020
Portland Trail Blazers*,0.463,0.377,10.2,35.1,20.6,6.3,6.1,21.7,115,2020
Washington Wizards,0.457,0.368,10.2,31.9,25,8,4.3,22.7,114.4,2020
San Antonio Spurs,0.472,0.376,9,35.6,24.7,7.3,5.5,19.4,114.1,2020
Boston Celtics*,0.461,0.364,10.7,35.4,23,8.3,5.6,21.6,113.7,2020
Phoenix Suns,0.468,0.358,9.8,33.8,27.2,7.7,4,22,113.6,2020
